Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Defensive Rank,Aliance,Score_ind_comp,Score_ind_piezas,Ranking_Point_Activition,Ranking_Point_Sustanability,Score_team_pieces
15,4.0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,10,0,2,Red,21,11,0,0,22
15,7415.0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,3,Red,14,9,0,0,22
16,3512.2,0,0,0,1,0,0,1,0,2,0,1,1,1,1,10,1,2,Blue,43,28,1,1,62
16,359.0,1,0,0,1,0,0,1,12,2,0,0,2,0,0,10,1,3,Blue,59,32,1,1,62
16,599.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,2,Blue,14,2,1,1,62
16,7102.0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,10,0,2,Red,30,8,1,0,18
16,6647.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,10,1,3,Red,25,10,1,0,18
16,1148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,0,0,1,0,18
17,8006.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,2,Blue,13,2,0,1,40
17,1148.2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,Blue,8,8,0,1,40
17,4415.0,0,0,0,0,0,1,0,0,1,1,1,3,0,1,10,1,3,Blue,42,30,0,1,40
17,3512.0,0,0,0,0,1,0,1,0,2,0,0,1,2,0,10,1,2,Red,40,25,1,1,77
17,3647.0,0,0,0,1,0,0,1,0,2,1,0,4,1,0,10,1,3,Red,57,42,1,1,77
17,4079.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,0,3,Red,20,10,1,1,77
18,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,0,0,1,0,25
18,2102.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,2,Blue,17,7,1,0,25
18,6017.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,10,1,2,Blue,30,18,1,0,25
18,6647.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,Blue,12,0,1,0,25
18,9084.0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,10,1,2,Red,36,21,0,1,55
18,4276.0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,Red,17,17,0,1,55
18,696.2,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,Red,20,17,0,1,55
19,696.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,0,0,0,0,4
19,9282.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,2,Blue,16,4,0,0,4
19,1138.0,0,0,0,0,0,0,1,0,2,0,2,3,1,2,10,1,2,Red,51,36,1,1,60
19,3128.0,0,0,0,0,0,0,0,8,0,0,4,2,0,0,10,1,2,Red,38,18,1,1,60
19,4322.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,Red,9,6,1,1,60
20,3863.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,2,Blue,17,5,1,0,29
20,4414.2,0,0,0,0,0,0,1,12,1,1,5,0,0,0,10,1,3,Blue,45,18,1,0,29
20,7415.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,Blue,6,6,1,0,29
20,2659.0,0,0,0,1,0,0,1,12,3,0,2,3,0,0,10,1,3,Red,67,40,1,1,51
20,3925.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,Red,2,2,1,1,51
20,3647.2,0,0,1,0,0,0,1,0,0,0,3,0,0,0,10,1,2,Red,24,9,1,1,51
21,1197.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,Blue,8,6,0,1,79
21,3128.2,0,0,0,1,0,0,1,8,2,1,4,1,0,0,0,1,3,Blue,45,32,0,1,79
21,4414.0,0,0,0,3,1,0,0,0,1,1,2,0,1,2,6,1,2,Blue,49,41,0,1,79
21,8006.0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,10,1,2,Red,46,31,0,1,66
21,5887.0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,Red,11,11,0,1,66
21,5199.0,0,0,1,0,0,0,1,12,0,0,3,3,0,0,0,0,3,Red,39,24,0,1,66
22,3647.0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,1,2,Blue,24,16,0,1,45
22,7157.0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,2,Blue,29,29,0,1,45
22,3759.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,2,Blue,11,0,0,1,45
22,6647.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Red,0,0,1,1,67
22,973.0,1,0,0,1,0,0,1,12,1,1,1,1,2,1,10,0,3,Red,60,35,1,1,67
22,9084.0,0,0,1,1,0,0,1,0,0,1,1,3,1,0,10,1,2,Red,47,32,1,1,67
23,4079.0,0,0,0,0,0,0,1,12,0,0,1,0,0,1,10,1,1,Blue,31,4,1,0,18
23,7102.0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,10,1,2,Blue,25,10,1,0,18
23,7415.0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,Blue,9,4,1,0,18
23,589.0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,10,1,2,Red,26,11,0,1,40
23,4415.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,Red,12,0,0,1,40
23,3128.0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,3,Red,29,29,0,1,40
24,696.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,Blue,2,2,0,1,56
24,3512.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,2,Blue,25,20,0,1,56
24,2659.0,0,0,0,1,0,0,0,12,2,0,0,2,2,1,6,0,2,Blue,52,34,0,1,56
24,4322.0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,10,0,3,Red,29,16,1,1,60
24,4414.0,0,0,1,1,0,0,1,12,1,1,2,3,2,1,10,1,3,Red,71,44,1,1,60
24,5199.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Red,12,0,1,1,60
25,9282.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,2,Blue,15,0,0,0,23
25,8006.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,Blue,3,0,0,0,23
25,5887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,0,0,0,0,23
25,5887.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Blue,8,8,0,0,23
25,4276.0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,2,Blue,20,15,0,0,23
25,5124.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,1,2,Red,20,8,1,0,23
25,8006.0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,10,1,2,Red,30,10,1,0,23
25,3925.0,0,0,1,0,0,0,0,12,0,0,1,0,0,0,0,1,3,Red,19,5,1,0,23
26,7157.0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,10,1,3,Blue,45,30,0,0,30
26,1148.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,Red,6,3,0,1,53
26,599.0,0,0,0,0,0,1,1,0,0,0,3,0,1,2,10,1,2,Red,31,16,0,1,53
26,4414.2,0,0,1,1,0,0,1,0,2,3,3,0,0,0,10,1,2,Red,49,34,0,1,53
27,3863.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Blue,0,0,0,0,30
