Marca temporal,Scouter,Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Auto Comentarios Extra,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Disconnection Time ,Defensive Rank,TeleOp Comentarios Extras,Aliance
21/10/2023 12:48:08,karla,13,359,1,0,0,1,0,0,Si,Engaged (Balanced),,1,1,0,2,2,3,"Docked  (Not touching the ground, CS not Balanced)",No,0,2,,Red
21/10/2023 12:55:21,Rebeca,14,7157,0,0,0,0,0,0,No,"Docked (Not touching the ground, but not balanced)",,0,2,2,1,2,0,Engaged,Si,0,2,,Blue
21/10/2023 12:55:23,karla,14,9282,0,0,0,0,0,0,Si,Nothing,,0,0,0,0,0,0,Nothing,No,80,2,,Red
21/10/2023 12:55:27,leah,14,2659,0,0,0,3,0,0,Si,Nothing,,1,0,0,3,2,0,Engaged,Si,0,3,,Blue
21/10/2023 12:55:37,mangie,14,6017,1,0,0,0,0,0,No,Nothing,,1,0,0,0,0,0,Nothing,No,100,2,,Red
21/10/2023 12:55:49,sofy,14,4415,0,0,0,0,0,0,Si,Nothing,,1,3,8,0,0,0,Nothing,No,0,2,Hizo foul una vez,Red
21/10/2023 12:55:59,clarisa,14,5887,0,0,0,1,0,0,Si,Nothing,,0,0,0,0,0,0,Nothing,Si,80,2,,Blue
21/10/2023 13:03:28,Rebeca,15,5199,0,0,0,0,0,0,Si,Nothing,,1,0,5,4,1,0,Engaged,Si,0,2,,Blue
21/10/2023 13:03:29,mangie,15,589,0,0,0,0,0,0,Si,Nothing,,0,0,1,0,0,0,Engaged,Si,bad connection,1,menuda esquizofrenia,Red
21/10/2023 13:03:35,sofy,15,4,0,0,0,0,0,1,No,Nothing,,0,0,1,0,2,0,Engaged,No,0,2,"Muy lento, un poco inestable",Red
